base1,quote1,base2,quote2,base3,quote3
1INCH,EUR,USDT,EUR,1INCH,USDT
1INCH,USD,USDT,USD,1INCH,USDT
2Z,USD,USDT,USD,2Z,USDT
A,USD,USDT,USD,A,USDT
AAVE,EUR,USDT,EUR,AAVE,USDT
AAVE,USD,USDT,USD,AAVE,USDT
ACE,USD,USDT,USD,ACE,USDT
ACH,USD,USDT,USD,ACH,USDT
ADA,EUR,USDT,EUR,ADA,USDT
ADA,EUR,USDC,EUR,ADA,USDC
ADA,USD,USDT,USD,ADA,USDT
ADA,USDC,USDC,USDT,ADA,USDT
USDT,AED,XRP,USDT,XRP,AED
BTC,AED,BTC,USDT,USDT,AED
BTC,AED,ETH,BTC,ETH,AED
BTC,AED,SOL,BTC,SOL,AED
ETH,AED,ETH,USDT,USDT,AED
SOL,AED,SOL,USDT,USDT,AED
AERGO,USD,USDT,USD,AERGO,USDT
AEVO,USD,USDT,USD,AEVO,USDT
AGLD,USD,USDT,USD,AGLD,USDT
AIXBT,USD,USDT,USD,AIXBT,USDT
ALGO,EUR,USDT,EUR,ALGO,USDT
ALGO,USD,USDT,USD,ALGO,USDT
ALLO,USD,USDT,USD,ALLO,USDT
ANIME,USD,USDT,USD,ANIME,USDT
APE,EUR,USDT,EUR,APE,USDT
APE,USD,USDT,USD,APE,USDT
API3,USD,USDT,USD,API3,USDT
APT,EUR,USDT,EUR,APT,USDT
APT,EUR,USDC,EUR,APT,USDC
APT,USD,USDT,USD,APT,USDT
APT,USDC,USDC,USDT,APT,USDT
AR,USD,USDT,USD,AR,USDT
ARB,EUR,USDT,EUR,ARB,USDT
ARB,USD,USDT,USD,ARB,USDT
ARG,USD,USDT,USD,ARG,USDT
ARKM,USD,USDT,USD,ARKM,USDT
ASP,USD,USDT,USD,ASP,USDT
ASTER,USD,USDT,USD,ASTER,USDT
ASTR,EUR,USDT,EUR,ASTR,USDT
ASTR,USD,USDT,USD,ASTR,USDT
ATH,USD,USDT,USD,ATH,USDT
ATOM,USD,USDT,USD,ATOM,USDT
ATOM,EUR,USDT,EUR,ATOM,USDT
AUCTION,USD,USDT,USD,AUCTION,USDT
TRUMP,AUD,TRUMP,USDT,USDT,AUD
USDT,AUD,XRP,USDT,XRP,AUD
USDC,AUD,XRP,USDC,XRP,AUD
USDC,AUD,USDC,USDT,USDT,AUD
BTC,AUD,BTC,USDT,USDT,AUD
BTC,AUD,BTC,USDC,USDC,AUD
BTC,AUD,ETH,BTC,ETH,AUD
BTC,AUD,SOL,BTC,SOL,AUD
ETH,AUD,ETH,USDT,USDT,AUD
ETH,AUD,ETH,USDC,USDC,AUD
SOL,AUD,SOL,USDT,USDT,AUD
SOL,AUD,SOL,USDC,USDC,AUD
AVAX,USD,USDT,USD,AVAX,USDT
AVAX,USDC,USDC,USDT,AVAX,USDT
AVAX,EUR,USDT,EUR,AVAX,USDT
AVAX,EUR,USDC,EUR,AVAX,USDC
AVNT,USD,USDT,USD,AVNT,USDT
AXS,EUR,USDT,EUR,AXS,USDT
AXS,USD,USDT,USD,AXS,USDT
BABY,USD,USDT,USD,BABY,USDT
BABYDOGE,USD,USDT,USD,BABYDOGE,USDT
BANANA,USD,USDT,USD,BANANA,USDT
BAND,USD,USDT,USD,BAND,USDT
BARD,USD,USDT,USD,BARD,USDT
BAT,EUR,USDT,EUR,BAT,USDT
BAT,USD,USDT,USD,BAT,USDT
BCH,USD,USDT,USD,BCH,USDT
BCH,USDC,USDC,USDT,BCH,USDT
BERA,USD,USDT,USD,BERA,USDT
BETH,ETH,ETH,USDT,BETH,USDT
BICO,USD,USDT,USD,BICO,USDT
BIGTIME,USD,USDT,USD,BIGTIME,USDT
BIO,USD,USDT,USD,BIO,USDT
BLUR,USD,USDT,USD,BLUR,USDT
BNB,EUR,USDT,EUR,BNB,USDT
BNB,EUR,USDC,EUR,BNB,USDC
BNB,USD,USDT,USD,BNB,USDT
BNB,USDC,USDC,USDT,BNB,USDT
BNT,USD,USDT,USD,BNT,USDT
BOME,USD,USDT,USD,BOME,USDT
BONK,USD,USDT,USD,BONK,USDT
ETH,BRL,ETH,USDC,USDC,BRL
ETH,BRL,ETH,USDT,USDT,BRL
PEPE,BRL,PEPE,USDT,USDT,BRL
PEPE,BRL,PEPE,USDC,USDC,BRL
USDC,BRL,USDC,USDT,USDT,BRL
USDC,BRL,XRP,USDC,XRP,BRL
SOL,BRL,SOL,USDT,USDT,BRL
SOL,BRL,SOL,USDC,USDC,BRL
TRUMP,BRL,TRUMP,USDT,USDT,BRL
USDT,BRL,XRP,USDT,XRP,BRL
PI,BRL,PI,USDC,USDC,BRL
PI,BRL,PI,USDT,USDT,BRL
BTC,BRL,BTC,USDC,USDC,BRL
BTC,BRL,SOL,BTC,SOL,BRL
BTC,BRL,BTC,USDT,USDT,BRL
BTC,BRL,ETH,BTC,ETH,BRL
BTC,EUR,USDT,EUR,BTC,USDT
BTC,EUR,SOL,EUR,SOL,BTC
BTC,EUR,USDC,EUR,BTC,USDC
BTC,USDC,USDC,USDT,BTC,USDT
BTC,USD,USDT,USD,BTC,USDT
OKB,BTC,OKB,USDT,BTC,USDT
BTC,TRY,USDT,TRY,BTC,USDT
ETH,BTC,ETH,EUR,BTC,EUR
ETH,BTC,ETH,USDC,BTC,USDC
ETH,BTC,ETH,USD,BTC,USD
ETH,BTC,ETH,TRY,BTC,TRY
ETH,BTC,ETH,USDT,BTC,USDT
SOL,BTC,SOL,TRY,BTC,TRY
SOL,BTC,SOL,USDT,BTC,USDT
SOL,BTC,SOL,USDC,BTC,USDC
SOL,BTC,SOL,USD,BTC,USD
CAT,USD,USDT,USD,CAT,USDT
CATI,USD,USDT,USD,CATI,USDT
CELO,USD,USDT,USD,CELO,USDT
CELR,USD,USDT,USD,CELR,USDT
CETUS,USD,USDT,USD,CETUS,USDT
CFG,USD,USDT,USD,CFG,USDT
CFX,USD,USDT,USD,CFX,USDT
CHZ,USD,USDT,USD,CHZ,USDT
CHZ,EUR,USDT,EUR,CHZ,USDT
CITY,USD,USDT,USD,CITY,USDT
COMP,EUR,USDT,EUR,COMP,USDT
COMP,USD,USDT,USD,COMP,USDT
CORE,USD,USDT,USD,CORE,USDT
CRO,EUR,USDT,EUR,CRO,USDT
CRO,USD,USDT,USD,CRO,USDT
CRV,EUR,USDT,EUR,CRV,USDT
CRV,USD,USDT,USD,CRV,USDT
CSPR,USD,USDT,USD,CSPR,USDT
CTC,USD,USDT,USD,CTC,USDT
CVC,USD,USDT,USD,CVC,USDT
CVX,USD,USDT,USD,CVX,USDT
CXT,USD,USDT,USD,CXT,USDT
DAI,USD,USDT,USD,DAI,USDT
DAO,USD,USDT,USD,DAO,USDT
DASH,USD,USDT,USD,DASH,USDT
DEGEN,USD,USDT,USD,DEGEN,USDT
DGB,USD,USDT,USD,DGB,USDT
DOGE,USD,USDT,USD,DOGE,USDT
DOGE,USDC,USDC,USDT,DOGE,USDT
DOGE,EUR,USDT,EUR,DOGE,USDT
DOGE,EUR,USDC,EUR,DOGE,USDC
DOGS,USD,USDT,USD,DOGS,USDT
DOOD,USD,USDT,USD,DOOD,USDT
DOT,USDC,USDC,USDT,DOT,USDT
DOT,EUR,USDT,EUR,DOT,USDT
DOT,EUR,USDC,EUR,DOT,USDC
DOT,USD,USDT,USD,DOT,USDT
DUCK,USD,USDT,USD,DUCK,USDT
DYDX,EUR,USDT,EUR,DYDX,USDT
DYDX,USD,USDT,USD,DYDX,USDT
EGLD,EUR,USDT,EUR,EGLD,USDT
EGLD,USD,USDT,USD,EGLD,USDT
EIGEN,USD,USDT,USD,EIGEN,USDT
ELF,USD,USDT,USD,ELF,USDT
ELON,USD,USDT,USD,ELON,USDT
ENA,USD,USDT,USD,ENA,USDT
ENJ,USD,USDT,USD,ENJ,USDT
ENS,USD,USDT,USD,ENS,USDT
ETC,USD,USDT,USD,ETC,USDT
ETH,USD,USDT,USD,ETH,USDT
STETH,ETH,STETH,USDT,ETH,USDT
STETH,ETH,STETH,USD,ETH,USD
ETH,EUR,USDC,EUR,ETH,USDC
ETH,EUR,USDT,EUR,ETH,USDT
ETH,TRY,USDT,TRY,ETH,USDT
ETH,USDC,USDC,USDT,ETH,USDT
ETHFI,USD,USDT,USD,ETHFI,USDT
ETHW,USD,USDT,USD,ETHW,USDT
FLOW,EUR,FLOW,USDT,USDT,EUR
TON,EUR,TON,USDC,USDC,EUR
TON,EUR,TON,USDT,USDT,EUR
JTO,EUR,JTO,USDT,USDT,EUR
THETA,EUR,THETA,USDT,USDT,EUR
THETA,EUR,THETA,USDC,USDC,EUR
USDC,EUR,WIF,USDC,WIF,EUR
USDC,EUR,XRP,USDC,XRP,EUR
USDC,EUR,USDC,USDT,USDT,EUR
USDC,EUR,XLM,USDC,XLM,EUR
STX,EUR,STX,USDT,USDT,EUR
INJ,EUR,INJ,USDC,USDC,EUR
INJ,EUR,INJ,USDT,USDT,EUR
TRUMP,EUR,TRUMP,USDT,USDT,EUR
HBAR,EUR,HBAR,USDT,USDT,EUR
ICP,EUR,ICP,USDT,USDT,EUR
MANA,EUR,MANA,USDT,USDT,EUR
USDT,EUR,WIF,USDT,WIF,EUR
USDT,EUR,WOO,USDT,WOO,EUR
USDT,EUR,XTZ,USDT,XTZ,EUR
USDT,EUR,YGG,USDT,YGG,EUR
USDT,EUR,XRP,USDT,XRP,EUR
USDT,EUR,XLM,USDT,XLM,EUR
UNI,EUR,UNI,USDC,USDC,EUR
UNI,EUR,UNI,USDT,USDT,EUR
MINA,EUR,MINA,USDT,USDT,EUR
SOL,EUR,SOL,USDC,USDC,EUR
SOL,EUR,SOL,USDT,USDT,EUR
SUI,EUR,SUI,USDC,USDC,EUR
SUI,EUR,SUI,USDT,USDT,EUR
FLR,EUR,FLR,USDT,USDT,EUR
IMX,EUR,IMX,USDT,USDT,EUR
LDO,EUR,LDO,USDT,USDT,EUR
SUSHI,EUR,SUSHI,USDT,USDT,EUR
PI,EUR,PI,USDC,USDC,EUR
PI,EUR,PI,USDT,USDT,EUR
TRX,EUR,TRX,USDC,USDC,EUR
TRX,EUR,TRX,USDT,USDT,EUR
NEO,EUR,NEO,USDC,USDC,EUR
NEO,EUR,NEO,USDT,USDT,EUR
FET,EUR,FET,USDT,USDT,EUR
FET,EUR,FET,USDC,USDC,EUR
SNX,EUR,SNX,USDC,USDC,EUR
SNX,EUR,SNX,USDT,USDT,EUR
LTC,EUR,LTC,USDC,USDC,EUR
LTC,EUR,LTC,USDT,USDT,EUR
OP,EUR,OP,USDT,USDT,EUR
SHIB,EUR,SHIB,USDT,USDT,EUR
HYPE,EUR,HYPE,USDC,USDC,EUR
HYPE,EUR,HYPE,USDT,USDT,EUR
LINK,EUR,LINK,USDT,USDT,EUR
LINK,EUR,LINK,USDC,USDC,EUR
SAND,EUR,SAND,USDT,USDT,EUR
GRT,EUR,GRT,USDT,USDT,EUR
FET,USDC,USDC,USDT,FET,USDT
FIL,USD,USDT,USD,FIL,USDT
FIL,USDC,USDC,USDT,FIL,USDT
FLOKI,USD,USDT,USD,FLOKI,USDT
FLOW,USD,USDT,USD,FLOW,USDT
FLR,USD,USDT,USD,FLR,USDT
FLUID,USD,USDT,USD,FLUID,USDT
G,USD,USDT,USD,G,USDT
GALA,USD,USDT,USD,GALA,USDT
GAS,USD,USDT,USD,GAS,USDT
GEAR,USD,USDT,USD,GEAR,USDT
GHST,USD,USDT,USD,GHST,USDT
GLM,USD,USDT,USD,GLM,USDT
GMT,USD,USDT,USD,GMT,USDT
GOAT,USD,USDT,USD,GOAT,USDT
GODS,USD,USDT,USD,GODS,USDT
GRT,USD,USDT,USD,GRT,USDT
HBAR,USD,USDT,USD,HBAR,USDT
HMSTR,USD,USDT,USD,HMSTR,USDT
HUMA,USD,USDT,USD,HUMA,USDT
HYPE,USD,USDT,USD,HYPE,USDT
HYPE,USDC,USDC,USDT,HYPE,USDT
ICP,USD,USDT,USD,ICP,USDT
ICX,USD,USDT,USD,ICX,USDT
ID,USD,USDT,USD,ID,USDT
ILV,USD,USDT,USD,ILV,USDT
IMX,USD,USDT,USD,IMX,USDT
INJ,USDC,USDC,USDT,INJ,USDT
IOST,USD,USDT,USD,IOST,USDT
IOTA,USDC,USDC,USDT,IOTA,USDT
IOTA,USD,USDT,USD,IOTA,USDT
IP,USD,USDT,USD,IP,USDT
IP,USDC,USDC,USDT,IP,USDT
JOE,USD,USDT,USD,JOE,USDT
JTO,USD,USDT,USD,JTO,USDT
JUP,USD,USDT,USD,JUP,USDT
KAIA,USD,USDT,USD,KAIA,USDT
KAITO,USD,USDT,USD,KAITO,USDT
KITE,USD,USDT,USD,KITE,USDT
KMNO,USD,USDT,USD,KMNO,USDT
KNC,USD,USDT,USD,KNC,USDT
KSM,USD,USDT,USD,KSM,USDT
LAT,USD,USDT,USD,LAT,USDT
LAYER,USD,USDT,USD,LAYER,USDT
LDO,USD,USDT,USD,LDO,USDT
LEO,USD,USDT,USD,LEO,USDT
LINEA,USD,USDT,USD,LINEA,USDT
LINK,USD,USDT,USD,LINK,USDT
LINK,USDC,USDC,USDT,LINK,USDT
LPT,USD,USDT,USD,LPT,USDT
LQTY,USD,USDT,USD,LQTY,USDT
LRC,USD,USDT,USD,LRC,USDT
LSK,USD,USDT,USD,LSK,USDT
LTC,USD,USDT,USD,LTC,USDT
LTC,USDC,USDC,USDT,LTC,USDT
LUNA,USD,USDT,USD,LUNA,USDT
MAGIC,USD,USDT,USD,MAGIC,USDT
MAJOR,USD,USDT,USD,MAJOR,USDT
MANA,USD,USDT,USD,MANA,USDT
MASK,USD,USDT,USD,MASK,USDT
ME,USD,USDT,USD,ME,USDT
MEME,USD,USDT,USD,MEME,USDT
MEMEFI,USD,USDT,USD,MEMEFI,USDT
MENGO,USD,USDT,USD,MENGO,USDT
MERL,USD,USDT,USD,MERL,USDT
MET,USD,USDT,USD,MET,USDT
METIS,USD,USDT,USD,METIS,USDT
MEW,USD,USDT,USD,MEW,USDT
MINA,USD,USDT,USD,MINA,USDT
MMT,USD,USDT,USD,MMT,USDT
MOODENG,USD,USDT,USD,MOODENG,USDT
MORPHO,USD,USDT,USD,MORPHO,USDT
MOVE,USD,USDT,USD,MOVE,USDT
NAVX,USD,USDT,USD,NAVX,USDT
NEAR,USD,USDT,USD,NEAR,USDT
NEIRO,USD,USDT,USD,NEIRO,USDT
NEO,USDC,USDC,USDT,NEO,USDT
NEO,USD,USDT,USD,NEO,USDT
NIGHT,USD,USDT,USD,NIGHT,USDT
NMR,USD,USDT,USD,NMR,USDT
NOT,USD,USDT,USD,NOT,USDT
OKSOL,SOL,SOL,USDT,OKSOL,USDT
OL,USD,USDT,USD,OL,USDT
OM,USD,USDT,USD,OM,USDT
OMI,USD,USDT,USD,OMI,USDT
ONDO,USD,USDT,USD,ONDO,USDT
ONE,USD,USDT,USD,ONE,USDT
ONT,USD,USDT,USD,ONT,USDT
OP,USD,USDT,USD,OP,USDT
ORBS,USD,USDT,USD,ORBS,USDT
ORDI,USD,USDT,USD,ORDI,USDT
PARTI,USD,USDT,USD,PARTI,USDT
PAXG,USD,USDT,USD,PAXG,USDT
PENDLE,USD,USDT,USD,PENDLE,USDT
PENGU,USDC,USDC,USDT,PENGU,USDT
PENGU,USD,USDT,USD,PENGU,USDT
PEOPLE,USD,USDT,USD,PEOPLE,USDT
PEPE,USD,USDT,USD,PEPE,USDT
PEPE,USDC,USDC,USDT,PEPE,USDT
PHA,USD,USDT,USD,PHA,USDT
PI,USD,USDT,USD,PI,USDT
PI,USDC,USDC,USDT,PI,USDT
PI,TRY,USDT,TRY,PI,USDT
PIXEL,USD,USDT,USD,PIXEL,USDT
PNUT,USD,USDT,USD,PNUT,USDT
POL,USD,USDT,USD,POL,USDT
POR,USD,USDT,USD,POR,USDT
PRCL,USD,USDT,USD,PRCL,USDT
PROMPT,USD,USDT,USD,PROMPT,USDT
PROVE,USD,USDT,USD,PROVE,USDT
PUMP,USD,USDT,USD,PUMP,USDT
PYTH,USD,USDT,USD,PYTH,USDT
QTUM,USD,USDT,USD,QTUM,USDT
RAY,USD,USDT,USD,RAY,USDT
RDNT,USD,USDT,USD,RDNT,USDT
RENDER,USD,USDT,USD,RENDER,USDT
RESOLV,USD,USDT,USD,RESOLV,USDT
RIO,USD,USDT,USD,RIO,USDT
RON,USD,USDT,USD,RON,USDT
RPL,USD,USDT,USD,RPL,USDT
RSR,USD,USDT,USD,RSR,USDT
RSS3,USD,USDT,USD,RSS3,USDT
RVN,USD,USDT,USD,RVN,USDT
S,USD,USDT,USD,S,USDT
SAFE,USD,USDT,USD,SAFE,USDT
SAHARA,USD,USDT,USD,SAHARA,USDT
SAND,USD,USDT,USD,SAND,USDT
SATS,USD,USDT,USD,SATS,USDT
SCR,USD,USDT,USD,SCR,USDT
SD,USD,USDT,USD,SD,USDT
SEI,USD,USDT,USD,SEI,USDT
USDC,SGD,USDC,USDT,USDT,SGD
SHIB,USD,USDT,USD,SHIB,USDT
SKL,USD,USDT,USD,SKL,USDT
SKY,USD,USDT,USD,SKY,USDT
SLP,USD,USDT,USD,SLP,USDT
SNT,USD,USDT,USD,SNT,USDT
SNX,USDC,USDC,USDT,SNX,USDT
SNX,USD,USDT,USD,SNX,USDT
SOL,TRY,USDT,TRY,SOL,USDT
SOL,USD,USDT,USD,SOL,USDT
SOL,USDC,USDC,USDT,SOL,USDT
SONIC,USD,USDT,USD,SONIC,USDT
SOPH,USD,USDT,USD,SOPH,USDT
SPK,USD,USDT,USD,SPK,USDT
SPURS,USD,USDT,USD,SPURS,USDT
SSV,USD,USDT,USD,SSV,USDT
STETH,USD,USDT,USD,STETH,USDT
STORJ,USD,USDT,USD,STORJ,USDT
STRK,USD,USDT,USD,STRK,USDT
STX,USD,USDT,USD,STX,USDT
SUI,USD,USDT,USD,SUI,USDT
SUI,USDC,USDC,USDT,SUI,USDT
SUSHI,USD,USDT,USD,SUSHI,USDT
SWEAT,USD,USDT,USD,SWEAT,USDT
SWFTC,USD,USDT,USD,SWFTC,USDT
T,USD,USDT,USD,T,USDT
THETA,USDC,USDC,USDT,THETA,USDT
THETA,USD,USDT,USD,THETA,USDT
TIA,USD,USDT,USD,TIA,USDT
TNSR,USD,USDT,USD,TNSR,USDT
TON,USD,USDT,USD,TON,USDT
TON,USDC,USDC,USDT,TON,USDT
TOSHI,USD,USDT,USD,TOSHI,USDT
TRA,USD,USDT,USD,TRA,USDT
TRB,USD,USDT,USD,TRB,USDT
TRUMP,TRY,USDT,TRY,TRUMP,USDT
TRUMP,USD,USDT,USD,TRUMP,USDT
TRX,USD,USDT,USD,TRX,USDT
TRX,USDC,USDC,USDT,TRX,USDT
USDT,TRY,XRP,USDT,XRP,TRY
TURBO,USD,USDT,USD,TURBO,USDT
ULTI,USD,USDT,USD,ULTI,USDT
UMA,USD,USDT,USD,UMA,USDT
UNI,USDC,USDC,USDT,UNI,USDT
UNI,USD,USDT,USD,UNI,USDT
USDT,USD,WIF,USDT,WIF,USD
USDT,USD,YB,USDT,YB,USD
USDT,USD,ZRO,USDT,ZRO,USD
USDT,USD,WET,USDT,WET,USD
USDT,USD,ZBCN,USDT,ZBCN,USD
USDT,USD,ZEC,USDT,ZEC,USD
USDT,USD,WLFI,USDT,WLFI,USD
USDT,USD,WCT,USDT,WCT,USD
USDT,USD,XTZ,USDT,XTZ,USD
USDT,USD,W,USDT,W,USD
USDT,USD,ZEUS,USDT,ZEUS,USD
USDT,USD,YFI,USDT,YFI,USD
USDT,USD,WIN,USDT,WIN,USD
USDT,USD,ZORA,USDT,ZORA,USD
USDT,USD,XCH,USDT,XCH,USD
USDT,USD,ZETA,USDT,ZETA,USD
USDT,USD,ZRX,USDT,ZRX,USD
USDT,USD,YGG,USDT,YGG,USD
USDT,USD,ZIL,USDT,ZIL,USD
USDT,USD,ZKJ,USDT,ZKJ,USD
USDT,USD,VRA,USDT,VRA,USD
USDT,USD,WLD,USDT,WLD,USD
USDT,USD,VELODROME,USDT,VELODROME,USD
USDT,USD,UXLINK,USDT,UXLINK,USD
USDT,USD,WAXP,USDT,WAXP,USD
USDT,USD,XRP,USDT,XRP,USD
USDT,USD,XLM,USDT,XLM,USD
USDT,USD,XPL,USDT,XPL,USD
USDT,USD,ZENT,USDT,ZENT,USD
USDT,USD,VELO,USDT,VELO,USD
USDT,USD,VIRTUAL,USDT,VIRTUAL,USD
USDT,USD,ZK,USDT,ZK,USD
USDT,USD,ZEN,USDT,ZEN,USD
USDC,USDT,XRP,USDT,XRP,USDC
USDC,USDT,XLM,USDT,XLM,USDC
USDC,USDT,WIF,USDT,WIF,USDC
